sample,condition,time,replicate
Mock_12_R1,Mock,12,1
Mock_12_R2,Mock,12,2
Mock_12_R3,Mock,12,3
Mock_24_R1,Mock,24,1
Mock_24_R2,Mock,24,2
Mock_24_R3,Mock,24,3
Mock_48_R1,Mock,48,1
Mock_48_R2,Mock,48,2
Mock_48_R3,Mock,48,3
Treatment_12_R1,Treatment,12,1
Treatment_12_R2,Treatment,12,2
Treatment_12_R3,Treatment,12,3
Treatment_24_R1,Treatment,24,1
Treatment_24_R2,Treatment,24,2
Treatment_24_R3,Treatment,24,3
Treatment_48_R1,Treatment,48,1
Treatment_48_R2,Treatment,48,2
Treatment_48_R3,Treatment,48,3
